"Name","DisplayName","Status","StartType"
"AarSvc_16b77d","Agent Activation Runtime_16b77d","Stopped","Manual"
"ALG","Application Layer Gateway Service","Stopped","Manual"
"AppIDSvc","Application Identity","Stopped","Manual"
"Appinfo","Application Information","Running","Manual"
"AppMgmt","Application Management","Stopped","Manual"
"AppReadiness","App Readiness","Stopped","Manual"
"AppVClient","Microsoft App-V Client","Stopped","Disabled"
"AppXSvc","AppX Deployment Service (AppXSVC)","Running","Manual"
"ApxSvc","Windows Virtual Audio Device Proxy Service","Stopped","Manual"
"AssignedAccessManagerSvc","AssignedAccessManager Service","Stopped","Manual"
"AudioEndpointBuilder","Windows Audio Endpoint Builder","Running","Automatic"
"Audiosrv","Windows Audio","Running","Automatic"
"autotimesvc","Cellular Time","Stopped","Manual"
"AxInstSV","ActiveX Installer (AxInstSV)","Stopped","Manual"
"BcastDVRUserService_16b77d","GameDVR and Broadcast User Service_16b77d","Stopped","Manual"
"BDESVC","BitLocker Drive Encryption Service","Stopped","Manual"
"BFE","Base Filtering Engine","Running","Automatic"
"BITS","Background Intelligent Transfer Service","Stopped","Manual"
"BluetoothUserService_16b77d","Bluetooth User Support Service_16b77d","Stopped","Manual"
"BrokerInfrastructure","Background Tasks Infrastructure Service","Running","Automatic"
"BTAGService","Bluetooth Audio Gateway Service","Stopped","Manual"
"BthAvctpSvc","AVCTP service","Stopped","Manual"
"bthserv","Bluetooth Support Service","Stopped","Manual"
"camsvc","Capability Access Manager Service","Running","Automatic"
"CaptureService_16b77d","CaptureService_16b77d","Stopped","Manual"
"cbdhsvc_16b77d","Clipboard User Service_16b77d","Running","Automatic"
"CDPSvc","Connected Devices Platform Service","Running","Automatic"
"CDPUserSvc_16b77d","Connected Devices Platform User Service_16b77d","Running","Automatic"
"CertPropSvc","Certificate Propagation","Running","Manual"
"ClipSVC","Client Licence Service (ClipSVC)","Stopped","Manual"
"CloudBackupRestoreSvc_16b77d","Cloud Backup and Restore Service_16b77d","Stopped","Manual"
"cloudidsvc","Microsoft Cloud Identity Service","Stopped","Manual"
"COMSysApp","COM+ System Application","Running","Manual"
"ConsentUxUserSvc_16b77d","ConsentUX User Service_16b77d","Stopped","Manual"
"CoreMessagingRegistrar","CoreMessaging","Running","Automatic"
